监测点位,X,Y,Z,采样深度/m,上层深度,下层深度,样品编号,pH值,苯并(a)芘,苯并(a)蒽,苯并(b)荧蒽,"二苯并(a,h)蒽","茚并(1,2,3-c,d)芘",萘,苯,乙苯,石油烃(C10-C40),砷,数据来源,2米分层（详查）,地面高程/m
JM2(S20),3620.0118,7702.9495,1.5,1.0-1.5,1,1.5,,/,0.5,1.1,0.6,0.2,0.4,30.5,3.29,/,/,18.5,工作井以北,2,
JM2(S20),3620.0118,7702.9495,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,39,13.2,/,/,7.67,工作井以北,4,
JM2(S20),3620.0118,7702.9495,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,0.13,1.88,/,/,4.94,工作井以北,6,
JM2(S16),3631.4438,7718.1368,0.5,0-0.5,0,0.5,,/,1.1,2.7,1.9,0.4,1.1,0.65,ND,/,/,47.9,工作井以北,2,
JM2(S16),3631.4438,7718.1368,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,ND,ND,/,/,24.9,工作井以北,2,
JM2(S16),3631.4438,7718.1368,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,ND,/,/,29.1,工作井以北,4,
JM2(S16),3631.4438,7718.1368,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,ND,/,/,27.8,工作井以北,6,
M-S5,3635.0731,7698.4312,0.2,0-0.2,0,0.2,,8.34,ND,ND,ND,ND,ND,0.12,0.141,ND,39,18.4,工作井以北,2,
M-S5,3635.0731,7698.4312,2,1.5-2.0,1.5,2,,10.5,ND,ND,ND,ND,ND,ND,2.07,ND,40,9.05,工作井以北,2,
M-S5,3635.0731,7698.4312,4,3.5-4.0,3.5,4,,10.83,ND,ND,ND,ND,ND,0.78,0.852,ND,57,6.12,工作井以北,4,
JM2(S15),3637.6564,7684.5203,0.5,0-0.5,0,0.5,,/,0.3,0.5,0.4,ND,0.2,0.68,0.88,0.136,/,,工作井以北,2,
JM2(S15),3637.6564,7684.5203,1.5,1.0-1.5,1,1.5,,/,0.7,1.2,1.1,ND,0.4,0.96,0.194,ND,/,,工作井以北,2,
JM2(S13),3650.69413,7700.10947,0.5,0-0.5,0,0.5,,/,0.2,0.3,0.3,ND,0.1,1.13,/,/,/,,工作井以北,2,
JM2(S13),3650.69413,7700.10947,1.5,1.0-1.5,1,1.5,,/,0.1,0.2,0.2,ND,0.1,0.68,/,/,/,,工作井以北,2,
JM2(S10),3666.0164,7709.8765,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.21,/,/,/,,工作井以北,2,
JM2(S10),3666.0164,7709.8765,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,14.8,/,/,/,,工作井以北,2,
JM2(S11),3655.98785,7680.87585,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.64,0.381,0.211,/,,工作井以北,2,
JM2(S11),3655.98785,7680.87585,1.5,1.0-1.5,1,1.5,,/,ND,0.2,ND,ND,ND,0.62,0.533,0.977,/,,工作井以北,2,
JM(R1-S3)3,3662.8219,7692.3596,0.5,0-0.5,0,0.5,,/,42.46652665,41.7587512,33.61933359,ND,20.17160016,170.6918446,/,/,/,,工作井以北,2,
JM(R1-S3)3,3662.8219,7692.3596,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,0.764482212,/,/,/,,工作井以北,2,
JM(R1-S3)3,3662.8219,7692.3596,4,3.5-4.0,3.5,4,,/,0.9,0.9,0.6,0.1,0.2,29.6,/,/,/,,工作井以北,4,
JM(R1-S3)3,3662.8219,7692.3596,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,1.18,/,/,/,,工作井以北,6,
JM(R1-S3)2,3679.1284,7698.0792,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.9,/,/,/,,工作井以北,2,
JM(R1-S3)2,3679.1284,7698.0792,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,0.23,/,/,/,,工作井以北,2,
JM(R1-S3)2,3679.1284,7698.0792,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,0.3,/,/,/,,工作井以北,4,
JM(R1-S3)2,3679.1284,7698.0792,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
R1-S3,3432.6017,7716.0326,0.2,0-0.2,0,0.2,,8.5,29.4,14.1,19.1,4.19,8.7,8.09,0.203,0.0895,643,15.9,工作井以北,2,
R1-S3,3432.6017,7716.0326,1,0.5-1.0,0.5,1,,8.45,ND,ND,ND,ND,ND,ND,ND,ND,130,9.55,工作井以北,2,
R1-S3,3432.6017,7716.0326,4,3.5-4.0,3.5,4,,8.57,16.5,11.2,9.8,2.1,8.7,167,0.126,14.6,480,7.7,工作井以北,4,
R1-S3,3432.6017,7716.0326,5,4.5-5.0,4.5,5,,/,ND,ND,ND,ND,ND,0.24,/,/,/,,工作井以北,6,
R1-S3,3432.6017,7716.0326,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
JM(R1-S2)2,3635.4422,7659.9441,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,ND,0.782,ND,/,,工作井以北,2,
JM(R1-S2)2,3635.4422,7659.9441,1.5,1.0-1.5,1,1.5,,/,1.2,1.5,1.5,ND,0.4,ND,1.07,182,/,,工作井以北,2,
JM(R1-S2)2,3635.4422,7659.9441,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,217,65.7,26.8,/,,工作井以北,4,
JM(R1-S2)2,3635.4422,7659.9441,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,6,
JM(W-S16)3,3649.8341,7666.7303,0.5,0-0.5,0,0.5,,/,/,/,/,/,/,/,2.23,1.16,/,,工作井以北,2,
JM(W-S16)3,3649.8341,7666.7303,1.5,1.0-1.5,1,1.5,,/,/,/,/,/,/,/,2.21,0.828,/,,工作井以北,2,
JM(W-S16)3,3649.8341,7666.7303,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,139,51.2,/,,工作井以北,4,
JM(W-S16)3,3649.8341,7666.7303,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,6.34,1.89,/,,工作井以北,6,
